file,occurrences,sources
candidate_01.png,97,day 1 line=2 x=1841 y=690; day 1 line=2 x=2280 y=690; day 1 line=2 x=2384 y=690; day 1 line=3 x=1447 y=901; day 2 line=6 x=1874 y=1665; day 3 line=2 x=2178 y=557; day 4 line=3 x=1885 y=756; day 4 line=3 x=2232 y=756; day 4 line=5 x=2225 y=1096; day 4 line=5 x=2639 y=1096; day 4 line=7 x=618 y=1438; day 4 line=7 x=2400 y=1438; day 4 line=9 x=2383 y=1778; day 5 line=1 x=1257 y=297; day 5 line=4 x=880 y=818; day 5 line=5 x=1458 y=993; day 5 line=10 x=2161 y=1863; day 6 line=4 x=1044 y=851; day 6 line=5 x=879 y=1026; day 6 line=6 x=2118 y=1200; day 7 line=3 x=984 y=558; day 7 line=5 x=2497 y=911; day 7 line=9 x=1889 y=1616; day 7 line=9 x=2567 y=1616; day 7 line=11 x=1096 y=1968; day 8 line=1 x=2223 y=411; day 8 line=2 x=1860 y=630; day 8 line=3 x=1927 y=851; day 10 line=2 x=2086 y=668; day 10 line=4 x=2517 y=1051; day 11 line=1 x=1298 y=359; day 11 line=2 x=1785 y=531; day 11 line=3 x=1055 y=704; day 11 line=4 x=2804 y=877; day 11 line=5 x=1209 y=1050; day 11 line=10 x=790 y=1912; day 11 line=11 x=1485 y=2085; day 12 line=2 x=2647 y=637; day 12 line=6 x=2312 y=1324; day 12 line=7 x=777 y=1494; day 12 line=10 x=1196 y=2009; day 13 line=5 x=2734 y=1262; day 13 line=7 x=2393 y=1600; day 14 line=1 x=2381 y=467; day 14 line=5 x=854 y=1302; day 14 line=6 x=2229 y=1511; day 15 line=7 x=1493 y=1358; day 17 line=2 x=1439 y=752; day 17 line=3 x=2345 y=919; day 17 line=3 x=2489 y=919; day 17 line=6 x=2004 y=1421; day 17 line=7 x=1328 y=1589; day 17 line=9 x=796 y=1923; day 17 line=9 x=2111 y=1923; day 18 line=3 x=2201 y=809; day 18 line=9 x=2300 y=1834; day 19 line=3 x=1663 y=1280; day 19 line=3 x=2140 y=1280; day 19 line=5 x=2169 y=1698; day 20 line=6 x=2199 y=1288; day 21 line=1 x=1846 y=323; day 21 line=1 x=2215 y=323; day 21 line=1 x=3084 y=323; day 21 line=4 x=2602 y=837; day 21 line=6 x=1248 y=1182; day 21 line=6 x=2395 y=1182; day 21 line=10 x=2501 y=1867; day 22 line=2 x=2547 y=577; day 22 line=3 x=878 y=749; day 22 line=5 x=1174 y=1091; day 22 line=11 x=1297 y=2118; day 23 line=1 x=1306 y=379; day 23 line=2 x=2183 y=549; day 23 line=4 x=1929 y=892; day 23 line=8 x=1558 y=1574; day 25 line=5 x=1615 y=1073; day 25 line=6 x=1643 y=1244; day 26 line=1 x=1178 y=408; day 26 line=2 x=1129 y=578; day 26 line=2 x=1994 y=578; day 26 line=4 x=777 y=918; day 26 line=5 x=1060 y=1088; day 26 line=6 x=1056 y=1257; day 26 line=7 x=2016 y=1427; day 26 line=9 x=1854 y=1767; day 27 line=1 x=933 y=608; day 27 line=4 x=991 y=1160; day 27 line=10 x=1712 y=2307; day 27 line=14 x=427 y=3072; day 28 line=8 x=2548 y=1566; day 28 line=10 x=1436 y=1912; day 29 line=9 x=2289 y=1718; day 30 line=2 x=2034 y=890; day 30 line=4 x=2199 y=1231; day 30 line=5 x=1110 y=1400; day 30 line=8 x=889 y=1911; day 31 line=7 x=1820 y=1820
candidate_02.png,57,day 2 line=2 x=1573 y=768; day 3 line=10 x=1207 y=1921; day 4 line=1 x=2040 y=414; day 4 line=5 x=2546 y=1096; day 4 line=7 x=2307 y=1438; day 4 line=10 x=1614 y=1949; day 5 line=2 x=2499 y=471; day 5 line=3 x=2914 y=645; day 5 line=5 x=885 y=993; day 5 line=5 x=2683 y=993; day 5 line=10 x=1213 y=1863; day 5 line=11 x=337 y=2037; day 6 line=5 x=785 y=1026; day 6 line=6 x=1907 y=1200; day 6 line=10 x=1562 y=1898; day 6 line=11 x=1904 y=2072; day 7 line=2 x=2772 y=381; day 7 line=4 x=1243 y=735; day 7 line=4 x=1573 y=735; day 7 line=4 x=2284 y=735; day 7 line=4 x=2492 y=735; day 7 line=6 x=1167 y=1087; day 7 line=7 x=1557 y=1263; day 7 line=7 x=1971 y=1263; day 7 line=10 x=1145 y=1792; day 7 line=11 x=961 y=1968; day 7 line=11 x=1610 y=1968; day 10 line=4 x=2425 y=1051; day 10 line=7 x=700 y=1603; day 11 line=2 x=2932 y=531; day 11 line=4 x=1472 y=877; day 11 line=8 x=796 y=1567; day 12 line=6 x=2605 y=1324; day 12 line=7 x=1331 y=1494; day 12 line=8 x=616 y=1665; day 12 line=8 x=796 y=1665; day 12 line=8 x=1037 y=1665; day 13 line=7 x=1606 y=1600; day 15 line=1 x=2428 y=349; day 15 line=4 x=842 y=854; day 15 line=8 x=1038 y=1527; day 15 line=9 x=1314 y=1695; day 18 line=6 x=1500 y=1322; day 18 line=8 x=2091 y=1663; day 18 line=9 x=1306 y=1834; day 21 line=4 x=1323 y=837; day 21 line=4 x=2395 y=837; day 21 line=5 x=1301 y=1009; day 22 line=5 x=1853 y=1091; day 23 line=2 x=2090 y=549; day 25 line=4 x=1201 y=901; day 27 line=7 x=604 y=1754; day 28 line=4 x=2243 y=877; day 28 line=8 x=2454 y=1566; day 30 line=8 x=1135 y=1911; day 32 line=2 x=2580 y=963; day 32 line=5 x=1956 y=1589
candidate_03.png,42,day 1 line=1 x=1413 y=480; day 3 line=5 x=779 y=1068; day 3 line=10 x=1191 y=1921; day 4 line=1 x=2024 y=414; day 4 line=7 x=2292 y=1438; day 5 line=5 x=871 y=993; day 5 line=5 x=2667 y=993; day 6 line=5 x=770 y=1026; day 6 line=6 x=1893 y=1200; day 6 line=10 x=1547 y=1898; day 7 line=3 x=1966 y=558; day 7 line=4 x=1555 y=735; day 7 line=4 x=2270 y=735; day 7 line=6 x=1150 y=1087; day 7 line=7 x=1539 y=1263; day 7 line=9 x=740 y=1616; day 7 line=11 x=943 y=1968; day 7 line=11 x=1595 y=1968; day 7 line=12 x=1422 y=2145; day 11 line=2 x=2918 y=531; day 11 line=4 x=1457 y=877; day 12 line=6 x=2590 y=1324; day 12 line=7 x=1317 y=1494; day 13 line=1 x=2403 y=583; day 13 line=7 x=1590 y=1600; day 15 line=1 x=2412 y=349; day 15 line=6 x=1737 y=1190; day 15 line=8 x=1022 y=1527; day 15 line=9 x=1298 y=1695; day 17 line=5 x=1896 y=1255; day 18 line=4 x=2329 y=982; day 18 line=6 x=1486 y=1322; day 20 line=4 x=1634 y=947; day 21 line=3 x=2734 y=666; day 21 line=5 x=1287 y=1009; day 21 line=10 x=1288 y=1867; day 22 line=3 x=1049 y=749; day 22 line=5 x=1835 y=1091; day 25 line=4 x=1187 y=901; day 28 line=8 x=2439 y=1566; day 30 line=8 x=1121 y=1911; day 31 line=2 x=1818 y=773
candidate_04.png,35,day 2 line=3 x=1945 y=991; day 3 line=2 x=1887 y=557; day 3 line=2 x=2609 y=557; day 3 line=4 x=1962 y=897; day 5 line=10 x=387 y=1863; day 8 line=2 x=1353 y=630; day 8 line=3 x=1461 y=851; day 8 line=4 x=1310 y=1071; day 8 line=8 x=1309 y=1947; day 12 line=9 x=1809 y=1839; day 13 line=3 x=2073 y=922; day 13 line=7 x=2532 y=1600; day 14 line=2 x=1729 y=677; day 14 line=4 x=1201 y=1094; day 14 line=7 x=1932 y=1718; day 15 line=11 x=1521 y=2031; day 15 line=11 x=1952 y=2031; day 17 line=5 x=707 y=1255; day 17 line=5 x=1521 y=1255; day 20 line=7 x=1378 y=1459; day 20 line=8 x=1511 y=1629; day 21 line=6 x=977 y=1182; day 21 line=8 x=2333 y=1524; day 22 line=10 x=471 y=1946; day 23 line=1 x=1780 y=379; day 23 line=2 x=2648 y=549; day 23 line=9 x=1294 y=1743; day 24 line=3 x=1236 y=1129; day 24 line=4 x=1738 y=1335; day 25 line=6 x=593 y=1244; day 25 line=6 x=911 y=1244; day 26 line=6 x=1196 y=1257; day 28 line=7 x=793 y=1394; day 32 line=3 x=2318 y=1172; day 32 line=4 x=1444 y=1380
candidate_05.png,32,day 2 line=3 x=1590 y=991; day 2 line=6 x=2240 y=1665; day 4 line=1 x=2274 y=414; day 4 line=9 x=2145 y=1778; day 6 line=4 x=2904 y=851; day 7 line=5 x=2417 y=911; day 11 line=3 x=2277 y=704; day 11 line=10 x=1982 y=1912; day 12 line=3 x=1688 y=809; day 12 line=5 x=1101 y=1152; day 15 line=10 x=1992 y=1863; day 17 line=7 x=1251 y=1589; day 17 line=9 x=719 y=1923; day 18 line=1 x=1938 y=467; day 18 line=2 x=2113 y=638; day 19 line=1 x=1514 y=861; day 19 line=5 x=1392 y=1698; day 22 line=3 x=1302 y=749; day 22 line=4 x=1730 y=918; day 22 line=7 x=2616 y=1434; day 23 line=1 x=1851 y=379; day 23 line=4 x=2162 y=892; day 24 line=1 x=1338 y=718; day 25 line=3 x=2083 y=730; day 25 line=3 x=2393 y=730; day 25 line=6 x=1729 y=1244; day 26 line=5 x=636 y=1088; day 26 line=6 x=1829 y=1257; day 26 line=6 x=2191 y=1257; day 29 line=1 x=1198 y=360; day 29 line=4 x=1295 y=870; day 30 line=3 x=1306 y=1060
candidate_06.png,32,day 3 line=7 x=1675 y=1409; day 5 line=1 x=1243 y=297; day 5 line=4 x=866 y=818; day 5 line=5 x=1444 y=993; day 5 line=6 x=1490 y=1167; day 5 line=9 x=2247 y=1688; day 5 line=10 x=2147 y=1863; day 6 line=4 x=922 y=851; day 6 line=7 x=1733 y=1376; day 7 line=3 x=970 y=558; day 7 line=5 x=2483 y=911; day 7 line=9 x=1874 y=1616; day 7 line=9 x=2552 y=1616; day 7 line=11 x=1082 y=1968; day 11 line=1 x=1284 y=359; day 11 line=3 x=1041 y=704; day 11 line=4 x=2790 y=877; day 11 line=11 x=1471 y=2085; day 12 line=5 x=1919 y=1152; day 12 line=7 x=763 y=1494; day 12 line=10 x=1182 y=2009; day 18 line=3 x=2187 y=809; day 18 line=4 x=1313 y=982; day 21 line=1 x=1832 y=323; day 22 line=3 x=864 y=749; day 22 line=5 x=1160 y=1091; day 22 line=7 x=629 y=1434; day 25 line=1 x=919 y=387; day 25 line=6 x=1629 y=1244; day 27 line=10 x=1698 y=2307; day 27 line=14 x=413 y=3072; day 28 line=10 x=1422 y=1912
candidate_07.png,31,day 3 line=3 x=2475 y=727; day 3 line=7 x=2360 y=1409; day 3 line=9 x=1407 y=1750; day 5 line=6 x=1191 y=1167; day 5 line=6 x=1504 y=1167; day 5 line=9 x=2261 y=1688; day 5 line=11 x=431 y=2037; day 6 line=4 x=936 y=851; day 6 line=5 x=2294 y=1026; day 10 line=1 x=1289 y=454; day 10 line=3 x=2717 y=838; day 10 line=8 x=598 y=1815; day 10 line=8 x=735 y=1815; day 10 line=8 x=968 y=1815; day 12 line=4 x=1847 y=981; day 13 line=4 x=1822 y=1091; day 14 line=4 x=1882 y=1094; day 15 line=3 x=2511 y=687; day 15 line=4 x=1045 y=854; day 15 line=10 x=1251 y=1863; day 18 line=7 x=1671 y=1492; day 20 line=4 x=1744 y=947; day 21 line=7 x=2025 y=1353; day 22 line=2 x=1769 y=577; day 22 line=6 x=2241 y=1262; day 22 line=7 x=643 y=1434; day 24 line=4 x=1403 y=1335; day 25 line=1 x=933 y=387; day 25 line=7 x=1288 y=1415; day 27 line=5 x=1982 y=1372; day 30 line=7 x=2409 y=1741
candidate_08.png,28,day 1 line=8 x=1578 y=1959; day 2 line=5 x=2344 y=1442; day 4 line=4 x=1788 y=926; day 5 line=5 x=2747 y=993; day 5 line=6 x=2076 y=1167; day 5 line=7 x=1483 y=1342; day 5 line=8 x=2294 y=1515; day 6 line=10 x=1769 y=1898; day 7 line=3 x=2049 y=558; day 7 line=11 x=1512 y=1968; day 7 line=12 x=1338 y=2145; day 10 line=3 x=2454 y=838; day 13 line=1 x=1009 y=583; day 13 line=1 x=3007 y=583; day 13 line=8 x=2146 y=1772; day 17 line=7 x=1113 y=1589; day 20 line=9 x=1160 y=1800; day 21 line=2 x=2566 y=495; day 22 line=8 x=2362 y=1604; day 25 line=2 x=2545 y=560; day 25 line=3 x=1641 y=730; day 26 line=4 x=1493 y=918; day 27 line=1 x=1161 y=608; day 28 line=3 x=2362 y=705; day 29 line=3 x=2316 y=701; day 29 line=8 x=1750 y=1548; day 29 line=10 x=734 y=1888; day 30 line=2 x=1190 y=890
candidate_09.png,25,day 1 line=1 x=1427 y=480; day 3 line=5 x=793 y=1068; day 7 line=3 x=1984 y=558; day 7 line=6 x=2109 y=1087; day 7 line=9 x=758 y=1616; day 7 line=12 x=1436 y=2145; day 11 line=11 x=408 y=2085; day 13 line=1 x=2419 y=583; day 15 line=3 x=1277 y=687; day 15 line=6 x=1753 y=1190; day 15 line=8 x=1431 y=1527; day 17 line=5 x=1911 y=1255; day 18 line=4 x=2344 y=982; day 18 line=7 x=1539 y=1492; day 20 line=4 x=1651 y=947; day 20 line=9 x=1708 y=1800; day 21 line=3 x=983 y=666; day 21 line=3 x=1938 y=666; day 21 line=3 x=2748 y=666; day 21 line=10 x=1302 y=1867; day 21 line=11 x=2269 y=2038; day 22 line=2 x=2974 y=577; day 22 line=3 x=1066 y=749; day 31 line=2 x=1834 y=773; day 31 line=2 x=2269 y=773
candidate_10.png,17,day 2 line=3 x=1575 y=991; day 4 line=1 x=2259 y=414; day 6 line=3 x=2040 y=678; day 9 line=7 x=1874 y=1340; day 12 line=3 x=1671 y=809; day 17 line=9 x=704 y=1923; day 18 line=1 x=1922 y=467; day 21 line=2 x=2796 y=495; day 22 line=3 x=1287 y=749; day 22 line=4 x=1713 y=918; day 23 line=4 x=2145 y=892; day 25 line=3 x=2066 y=730; day 25 line=6 x=1714 y=1244; day 25 line=7 x=1359 y=1415; day 26 line=5 x=620 y=1088; day 26 line=6 x=1813 y=1257; day 29 line=4 x=1277 y=870
